KulliKamusKod,Telafuz,Lisan,OsmYazilis,Anlam,Ornek,CreatedAt,UpdatedAt
1,Allâh,(A.),????," Tanrý	 Allah	 Yaratan",,6/27/2021 20:23,6/27/2021 20:23
2,Hak Teâlâ,(A.),?? ?????, Yüce Tanrý.,,6/27/2021 20:23,6/27/2021 20:23
3,a?mâl,(A.),?????," davranýþlar	 ameller.",,6/27/2021 20:23,6/27/2021 20:23
4,abd,(A.),???, 1.kul. 2.köle.,,6/27/2021 20:23,6/27/2021 20:23
5,abdest,(F.),?????, [âb + dest] 1.abdest. 2.paylama.,,6/27/2021 20:23,6/27/2021 20:23
6,abdesthâne,(F.),?????????, 1.tuvalet. 2.abdest alýnan yer.,,6/27/2021 20:23,6/27/2021 20:23
7,abdestlik,(F.-T.),???????,kýsa cübbe.,,6/27/2021 20:23,6/27/2021 20:23
8,abes,(A.),???," saçma	 abes.",,6/27/2021 20:23,6/27/2021 20:23
9,abher,(A.),????, 1.nergis. 2.zerrinkadeh çiçeði. 3.yasemin.,,6/27/2021 20:23,6/27/2021 20:23
10,abraþ,(A.),????, alacalý.,,6/27/2021 20:23,6/27/2021 20:23
11,abâ,(A.),???, 1.kaba yün kumaþ. 2.aba.,,6/27/2021 20:23,6/27/2021 20:23
12,abâpûþ,(A.-F.),??????, [abâ + pûþîden > pûþ] 1.abalý. 2.derviþ. 3.yoksul.,,6/27/2021 20:23,6/27/2021 20:23
13,abîd,(A.),????, 1.kullar. 2.köleler.,,6/27/2021 20:23,6/27/2021 20:23
14,abûs,(A.),????, somurtkan.,,6/27/2021 20:23,6/27/2021 20:23
15,ab?âb,(A.),?????, vantrolog.,,6/27/2021 20:23,6/27/2021 20:23
16,aceb,(A.),???, 1.tuhaflýk. 2.acaba.,,6/27/2021 20:23,6/27/2021 20:23
17,acebâ,(A.),????, acaba.,,6/27/2021 20:23,6/27/2021 20:23
18,acele,(A.),????, acele.,,6/27/2021 20:23,6/27/2021 20:23
19,aceleten,(A.),????," çarçabuk	 alelacele.",,6/27/2021 20:23,6/27/2021 20:23
20,acem,(A.),???," [ç. ????? ] 1.arap olmayan. 2.Ýranlý	 acem.",,6/27/2021 20:23,6/27/2021 20:23
21,acemaþîran,(A.),??? ??????, Türk mûsikisinde bir makam.,,6/27/2021 20:23,6/27/2021 20:23
22,acemce,(A.-T.),?????,Farsça. ,,6/27/2021 20:23,6/27/2021 20:23
23,acemistan,(A.-F.),???????,Ýran.,,6/27/2021 20:23,6/27/2021 20:23
24,acemiyân,(A.-F.),??????, 1.deneyimsizler. 2.Ýranlýlar.,,6/27/2021 20:23,6/27/2021 20:23
25,acemî,(A.),????," 1.deneyimsiz	 acemi. 2.Ýranlý.",,6/27/2021 20:23,6/27/2021 20:23
26,aceze,(A.),????," düþkünler	 âcizler.",,6/27/2021 20:23,6/27/2021 20:23
27,acz,(A.),???," acizlik	 çaresizlik	 bir þey yapamama.",,6/27/2021 20:23,6/27/2021 20:23
28,acâleten,(A.),?????, alelacele.,,6/27/2021 20:23,6/27/2021 20:23
29,acîb,(A.),????," tuhaf	 acayip	 ilginç.",,6/27/2021 20:23,6/27/2021 20:23
30,acîbe,(A.),?????, þaþýlacak þey.,,6/27/2021 20:23,6/27/2021 20:23
31,acîn,(A.),????," macun	 yoðurulmuþ. (Lahmacun kelimesi buradan gelir. lahmun bi?l-acîn > lahmacun]",,6/27/2021 20:23,6/27/2021 20:23
32,acûl,(A.),????, aceleci.,,6/27/2021 20:23,6/27/2021 20:23
33,acûlâne,(A.-F.),???????, [acûl + âne] acele acele.,,6/27/2021 20:23,6/27/2021 20:23
34,acûz,(A.),????, 1.kocakarý. 2.cadý.,,6/27/2021 20:23,6/27/2021 20:23
35,acûze,(A.),?????, 1.kocakarý. 2.cadý.,,6/27/2021 20:23,6/27/2021 20:23
36,adale,(A.),????,1.kas. 2.kaslar.,,6/27/2021 20:23,6/27/2021 20:23
37,adalât,(A.),?????, kaslar.,,6/27/2021 20:23,6/27/2021 20:23
38,add,(A.),??," sayma	 görme	 deðerlendirme	 kabul etme.",,6/27/2021 20:23,6/27/2021 20:23
39,aded,(A.),???, [ç. ???? ] sayý.,,6/27/2021 20:23,6/27/2021 20:23
40,adeden,(A.),????, sayýca.,,6/27/2021 20:23,6/27/2021 20:23
41,adedî,(A.),????, sayýsal.,,6/27/2021 20:23,6/27/2021 20:23
42,adem,(A.),???," yokluk	 bulunmama	 adem.",,6/27/2021 20:23,6/27/2021 20:23
43,adem-i muvaffakiyet,(A.),??? ??????, baþarýsýzlýk.,,6/27/2021 20:23,6/27/2021 20:23
44,adem-i muvâzenet,(A.),??? ??????, dengesizlik.,,6/27/2021 20:23,6/27/2021 20:23
45,adem-i riâyet,(A.),??? ?????, uymama.,,6/27/2021 20:23,6/27/2021 20:23
46,adem-i teveccüh,(A.),??? ????, ilgisizlik.,,6/27/2021 20:23,6/27/2021 20:23
47,adem-i te?lîfiyet,(A.),??? ???????," uzlaþamama	 bir araya gelememe.",,6/27/2021 20:23,6/27/2021 20:23
48,ademâbâd,(A.-F.),??? ????, [adem + âbâd] yokluk ülkesi.,,6/27/2021 20:23,6/27/2021 20:23
49,ades,(A.),???, mercimek.,,6/27/2021 20:23,6/27/2021 20:23
50,adese,(A.),????, mercek.,,6/27/2021 20:23,6/27/2021 20:23
51,adhâ,(A.),????, kurbanlar.,,6/27/2021 20:23,6/27/2021 20:23
52,adl,(A.),???, adalet.,,6/27/2021 20:23,6/27/2021 20:23
53,adliyye,(A.),?????," mahkeme	 adliye.",,6/27/2021 20:23,6/27/2021 20:23
54,adlâ?,(A.),?????, kenarlar.,,6/27/2021 20:23,6/27/2021 20:23
55,adlî,(A.),????, adalet ile ilgili.,,6/27/2021 20:23,6/27/2021 20:23
56,adn,(A.),???, cennet.,,6/27/2021 20:23,6/27/2021 20:23
57,adâlet,(A.),?????, adalet.,,6/27/2021 20:23,6/27/2021 20:23
58,adâletkâr,(A.-F.),????????," [adâlet + kâr] adil	 adaletli.",,6/27/2021 20:23,6/27/2021 20:23
59,adâvet,(A.),?????, düþmanlýk.,,6/27/2021 20:23,6/27/2021 20:23
60,adîd,(A.),????, birçok.,,6/27/2021 20:23,6/27/2021 20:23
61,adîde,(A.),?????, birçok.,,6/27/2021 20:23,6/27/2021 20:23
62,adîl,(A.),????," eþit	 denk.",,6/27/2021 20:23,6/27/2021 20:23
63,adîm,(A.),????, yok olan.,,6/27/2021 20:23,6/27/2021 20:23
64,adîmülimkân,(A.),???? ???????, imkânsýz.,,6/27/2021 20:23,6/27/2021 20:23
65,adû,(A.),???, [ç. ???? ] düþman.,,6/27/2021 20:23,6/27/2021 20:23
66,afiyetbahþ,(A.),???? ???, [âfiyet + bahþîden > bahþ] afiyet verici.,,6/27/2021 20:23,6/27/2021 20:23
67,afrika,(A.),??????, Afrika kýtasý.,,6/27/2021 20:23,6/27/2021 20:23
68,afsun,(F.),?????," büyü	 efsun.",,6/27/2021 20:23,6/27/2021 20:23
